Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Cost per item
eva-pro-tumbona,Tumbona de exterior resina | 73 cm,"<p>La Eva Pro es un icono de Balliu y mantiene la esencia de su predecesora Eva RG. Con una estructura de resina de polipropileno reforzada con carga mineral y un elegante acabado mate, ofrece resistencia y durabilidad.</p>
<p>Su diseño con patas en forma de V ofrece estabilidad. Cuenta con refuerzo interno, respaldo regulable en cinco posiciones y ruedas integradas. El tejido sustituible mediante cordón asegura una fácil renovación.</p>
<ul>
  <li>Resina Classic</li>
  <li>Tejido Balliu</li>
</ul>
<p><strong>Dimensiones:</strong> Largo: 205 cm | Ancho: 73 cm | Alto: 37 cm | Peso: 14 kg</p>",Balliu,,Tumbona,"balliu, exterior, tumbona, eva, pro",TRUE,Configuracion,Chasis Blanco/Tela Balliu,BALLIU_EVA_PRO_TUMBONA_CHASIS_BLANCO_TE_B19AF1EA,0,shopify,0,deny,manual,82.85,,TRUE,TRUE,https://www.balliuexport.com/wp-content/uploads/2018/06/eva-pro-blanco-01-00-800x614-1.jpg,1,Tumbona de exterior resina | 73 cm,FALSE,Tumbona de exterior resina | 73 cm,"La Eva Pro es un icono de Balliu y mantiene la esencia de su predecesora Eva RG. Con una estructura de resina de polipropileno reforzada con carga mineral y un elegante acabado mate, ofrece resistencia y durabilidad. Su diseño con patas en forma de V ofrece estabilidad. Cuenta con refuerzo interno, respaldo regulable e",active,
eva-pro-tumbona,Tumbona de exterior resina | 73 cm,"<p>La Eva Pro es un icono de Balliu y mantiene la esencia de su predecesora Eva RG. Con una estructura de resina de polipropileno reforzada con carga mineral y un elegante acabado mate, ofrece resistencia y durabilidad.</p>
<p>Su diseño con patas en forma de V ofrece estabilidad. Cuenta con refuerzo interno, respaldo regulable en cinco posiciones y ruedas integradas. El tejido sustituible mediante cordón asegura una fácil renovación.</p>
<ul>
  <li>Resina Classic</li>
  <li>Tejido Balliu</li>
</ul>
<p><strong>Dimensiones:</strong> Largo: 205 cm | Ancho: 73 cm | Alto: 37 cm | Peso: 14 kg</p>",Balliu,,Tumbona,"balliu, exterior, tumbona, eva, pro",TRUE,Configuracion,Chasis Blanco/Tablillas,BALLIU_EVA_PRO_TUMBONA_CHASIS_BLANCO_TA_32A6C0EA,0,shopify,0,deny,manual,89.39,,TRUE,TRUE,https://www.balliuexport.com/wp-content/uploads/2018/06/eva-pro-blanco-01-00-800x614-1.jpg,1,Tumbona de exterior resina | 73 cm,FALSE,Tumbona de exterior resina | 73 cm,"La Eva Pro es un icono de Balliu y mantiene la esencia de su predecesora Eva RG. Con una estructura de resina de polipropileno reforzada con carga mineral y un elegante acabado mate, ofrece resistencia y durabilidad. Su diseño con patas en forma de V ofrece estabilidad. Cuenta con refuerzo interno, respaldo regulable e",active,
eva-rg-tumbona,Tumbona de exterior resina | 73 cm,"<p>La Eva RG combina robustez y funcionalidad. Su estructura de resina de polipropileno reforzada con carga mineral proporciona gran resistencia y durabilidad. El diseño nerviado incrementa la robustez estructural.</p>
<p>El respaldo regulable en cuatro posiciones se adapta a las necesidades de confort, y su sistema de ajuste por click evita el atrapamiento de manos y dedos. Además, el tejido sustituible por cordón garantiza facilidad de mantenimiento. Una opción ideal para quienes buscan confort y diseño con seguridad y resistencia.</p>
<ul>
  <li>Resina Classic</li>
  <li>Tejido Balliu</li>
</ul>
<p><strong>Dimensiones:</strong> Largo: 205 cm | Ancho: 73 cm | Alto: 37 cm | Peso: 14 kg</p>",Balliu,,Tumbona,"balliu, exterior, tumbona, eva",TRUE,Configuracion,Chasis Blanco/Tela Balliu,BALLIU_EVA_RG_TUMBONA_CHASIS_BLANCO_TE_D369D964,0,shopify,0,deny,manual,94.70,,TRUE,TRUE,https://www.balliuexport.com/wp-content/uploads/2018/06/eva-pro-blanco-01-00-800x614-1.jpg,1,Tumbona de exterior resina | 73 cm,FALSE,Tumbona de exterior resina | 73 cm,"La Eva RG combina robustez y funcionalidad. Su estructura de resina de polipropileno reforzada con carga mineral proporciona gran resistencia y durabilidad. El diseño nerviado incrementa la robustez estructural. El respaldo regulable en cuatro posiciones se adapta a las necesidades de confort, y su sistema de ajuste po",active,
eva-rg-tumbona,,,,,,,,Configuracion,Chasis Arena/Tela Balliu,BALLIU_EVA_RG_TUMBONA_CHASIS_ARENA_TEL_D8285FFB,0,shopify,0,deny,manual,98.52,,TRUE,TRUE,,,,FALSE,,,active,
eva-rtg-tumbona,Tumbona de exterior resina | 73 cm,"<p>La Eva RTG es la tumbona perfecta para grandes espacios, combinando resistencia y funcionalidad. Su estructura de resina de polipropileno reforzada con carga mineral ofrece resistencia, mientras que el diseño nerviado aumenta su robustez.</p>
<p>El respaldo regulable en cuatro posiciones, con un sistema de ajuste por click, ayuda a evitar el atrapamiento de manos y dedos. Además, su sistema de listones modulares permite sustituir las lamas con facilidad. Perfecta también para usar con colchoneta.</p>
<ul>
  <li>Tablillas</li>
  <li>Resina Classic</li>
  <li>Resina Classic T</li>
</ul>
<p><strong>Dimensiones:</strong> Largo: 205 cm | Ancho: 73 cm | Alto: 37 cm | Peso: 14 kg</p>",Balliu,,Tumbona,"balliu, exterior, tumbona, eva, rtg",TRUE,Configuracion,Chasis Blanco/Tablillas,BALLIU_EVA_RTG_TUMBONA_CHASIS_BLANCO_TA_0648657B,0,shopify,0,deny,manual,97.43,,TRUE,TRUE,https://www.balliuexport.com/wp-content/uploads/2018/06/eva-pro-blanco-01-00-800x614-1.jpg,1,Tumbona de exterior resina | 73 cm,FALSE,Tumbona de exterior resina | 73 cm,"La Eva RTG es la tumbona perfecta para grandes espacios, combinando resistencia y funcionalidad. Su estructura de resina de polipropileno reforzada con carga mineral ofrece resistencia, mientras que el diseño nerviado aumenta su robustez. El respaldo regulable en cuatro posiciones, con un sistema de ajuste por click, a",active,
noa-tumbona,Tumbona de exterior resina,"<p>Diseñada para los espacios más exclusivos, la tumbona Noa combina elegancia y funcionalidad. Su estructura de resina de polipropileno reforzada con ﬁbra de vidrio y acabado texturizado garantizan una alta resistencia.</p>
<p>Su refuerzo interno con soporte metálico, respaldo regulable en cinco posiciones, ruedas integradas y tejido sustituible por guías aseguran máxima comodidad y durabilidad.</p>
<ul>
  <li>Resina Classic</li>
  <li>Tejido Balliu</li>
</ul>
<p><strong>Dimensiones:</strong> Largo: 191,2 cm | Peso: N/D kg</p>",Balliu,,Tumbona,"balliu, exterior, tumbona, noa",TRUE,Configuracion,Chasis Blanco/Tela Balliu,BALLIU_NOA_TUMBONA_CHASIS_BLANCO_TE_28FF014D,0,shopify,0,deny,manual,215.24,,TRUE,TRUE,https://www.balliuexport.com/wp-content/uploads/2026/02/Balliu_Noa_Blanco_marron2.jpg,1,Tumbona de exterior resina,FALSE,Tumbona de exterior resina,"Diseñada para los espacios más exclusivos, la tumbona Noa combina elegancia y funcionalidad. Su estructura de resina de polipropileno reforzada con ﬁbra de vidrio y acabado texturizado garantizan una alta resistencia. Su refuerzo interno con soporte metálico, respaldo regulable en cinco posiciones, ruedas integradas y",active,
noa-tumbona,,,,,,,,Configuracion,Chasis Prestige/Tela Balliu,BALLIU_NOA_TUMBONA_CHASIS_PRESTIGE__E5BE2A33,0,shopify,0,deny,manual,225.25,,TRUE,TRUE,,,,FALSE,,,active,
olimpia-tumbona,Tumbona de exterior aluminio,"<p>La Olimpia combina una estructura resistente con un diseño minimalista y elegante. Fabricada con aluminio endurecido y tornillería de acero inoxidable, su estructura reforzada internamente asegura gran resistencia.</p>
<p>Es regulable en cinco posiciones, con un sistema de seguridad para evitar el atrapamiento de manos y dedos. Con ruedas opcionales y tejido sustituible mediante guías, su diseño se caracteriza por líneas rectas y limpias, creando una apariencia plana y elegante.</p>
<ul>
  <li>Tejido Balliu</li>
  <li>Aluminio texturizado</li>
</ul>",Balliu,,Tumbona,"balliu, exterior, tumbona, olimpia",TRUE,Configuracion,Sin Ruedas,BALLIU_OLIMPIA_TUMBONA_SIN_RUEDAS_DA3F5C24,0,shopify,0,deny,manual,287.64,,TRUE,TRUE,,,,FALSE,Tumbona de exterior aluminio,"La Olimpia combina una estructura resistente con un diseño minimalista y elegante. Fabricada con aluminio endurecido y tornillería de acero inoxidable, su estructura reforzada internamente asegura gran resistencia. Es regulable en cinco posiciones, con un sistema de seguridad para evitar el atrapamiento de manos y dedo",active,
olimpia-tumbona,,,,,,,,Configuracion,Con Ruedas,BALLIU_OLIMPIA_TUMBONA_CON_RUEDAS_82D4D0A8,0,shopify,0,deny,manual,315.63,,TRUE,TRUE,,,,FALSE,,,active,
etna-tumbona,Tumbona de exterior aluminio,"<p>La tumbona Etna eleva cualquier espacio exterior con su diseño exclusivo y minimalista. Su estructura de aluminio endurecido, reforzada con nerviado interno y tornillería en acero inoxidable, la convierte en la más resistente de Balliu.</p>
<p>Con respaldo regulable en cinco posiciones, su tejido es sustituible mediante guías. Cuenta con ruedas opcionales en color gris para agregar funcionalidad. Con un perﬁl reﬁnado, es ideal para quienes buscan un diseño sencillo pero soﬁsticado.</p>
<ul>
  <li>Aluminio texturizado</li>
  <li>Tejido Balliu</li>
</ul>",Balliu,,Tumbona,"balliu, exterior, tumbona, etna",TRUE,Configuracion,Tela Balliu,BALLIU_ETNA_TUMBONA_TELA_BALLIU_36870D09,0,shopify,0,deny,manual,229.08,,TRUE,TRUE,,,,FALSE,Tumbona de exterior aluminio,"La tumbona Etna eleva cualquier espacio exterior con su diseño exclusivo y minimalista. Su estructura de aluminio endurecido, reforzada con nerviado interno y tornillería en acero inoxidable, la convierte en la más resistente de Balliu. Con respaldo regulable en cinco posiciones, su tejido es sustituible mediante guías",active,
