handle,proveedor,n_variantes,precio_min,precio_max,precio_psicologico_G(objetivo),coste_min,margen%_a_precio_min,status
sofa-terraza-2-plazas-estilo-contemporaneo-164104-cm,Hevea,1,1580.0,1580.0,1580.0,823.0,37.0,OK
sofa-terraza-3-plazas-estilo-contemporaneo-215104-cm,Hevea,1,2109.0,2109.0,2109.0,1097.0,37.1,OK
mesa-de-centro-exterior-125-cm-altura-42-cm,Hevea,1,569.0,569.0,569.0,297.0,36.8,OK
reposapies-exterior-855043-cm-2,Hevea,1,399.9,399.9,399.9,215.0,34.9,OK
set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-5,Hevea,1,4175.0,4175.0,4175.0,2174.0,37.0,OK
set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-2,Hevea,1,4709.0,4709.0,4709.0,2451.0,37.0,OK
sillon-exterior-bicolor-estilo-bicolor-7376-cm,Hevea,1,945.0,945.0,945.0,492.0,37.0,OK
sofa-terraza-bicolor-2-plazas-estilo-bicolor-14076-cm,Hevea,1,1365.0,1365.0,1365.0,709.0,37.2,OK
sofa-terraza-bicolor-3-plazas-estilo-bicolor-20076-cm,Hevea,1,1685.0,1685.0,1685.0,876.0,37.1,OK
mesa-de-centro-exterior-hpl-120-cm-altura-40-cm,Hevea,1,715.0,715.0,715.0,372.0,37.0,OK
mesa-de-centro-exterior-hpl-135-cm-altura-40-cm,Hevea,1,835.0,835.0,835.0,435.0,37.0,OK
reposapies-exterior-bicolor-704544-cm,Hevea,1,509.0,509.0,509.0,265.0,37.0,OK
set-jardin-bicolor-2-plazas-bicolor-sofa-2-plazas-2-sillones-mesa,Hevea,1,3965.0,3965.0,3965.0,2064.0,37.0,OK
set-jardin-bicolor-3-plazas-bicolor-sofa-3-plazas-2-sillones-mesa,Hevea,1,4405.0,4405.0,4405.0,2294.0,37.0,OK
sillon-exterior-estilo-versatil-7685-cm,Hevea,1,645.0,645.0,645.0,334.0,37.3,OK
sofa-terraza-2-plazas-estilo-contemporaneo-13785-cm,Hevea,1,909.0,909.0,909.0,473.0,37.0,OK
sofa-terraza-3-plazas-estilo-contemporaneo-19685-cm,Hevea,1,1175.0,1175.0,1175.0,612.0,37.0,OK
set-jardin-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa,Hevea,1,2535.0,2535.0,2535.0,1320.0,37.0,OK
set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-3,Hevea,1,2899.0,2899.0,2899.0,1509.0,37.0,OK
sillon-exterior-estilo-moderno-7085-cm,Hevea,1,585.0,585.0,585.0,303.0,37.3,OK
sofa-terraza-2-plazas-estilo-elegante-15085-cm,Hevea,1,909.0,909.0,909.0,473.0,37.0,OK
sofa-terraza-3-plazas-estilo-contemporaneo-19085-cm,Hevea,1,1175.0,1175.0,1175.0,612.0,37.0,OK
