handle,proveedor,n_variantes,precio_min,precio_max,precio_psicologico_G(objetivo),coste_min,margen%_a_precio_min,status
balliu-pie-de-parasol-c2147052,Balliu,2,126.95,164.95,164.95,88.17,16.0,CORREGIR
balliu-base-de-parasol-3ee8b72d,Balliu,2,51.95,99.9,99.9,54.88,-27.8,REVISAR_VARIANTES
balliu-funda-protectora-exterior-686cc405,Balliu,3,79.95,329.95,"79.95, 249.9, 329.95",42.82,35.2,OK
balliu-funda-protectora-exterior-acrilico-a1c16324,Balliu,1,36.95,36.95,36.95,19.68,35.6,OK
balliu-funda-protectora-exterior-6f6d4953,Balliu,3,129.95,227.95,"129.95, 186.95, 227.95",69.71,35.1,OK
balliu-funda-protectora-exterior-340b2844,Balliu,1,84.95,84.95,84.95,45.21,35.6,OK
balliu-cojin-exterior-523e5ae9,Balliu,1,53.95,53.95,53.95,28.69,35.7,OK
balliu-limpiador-para-mobiliario-exterior-d0d3fc26,Balliu,1,23.95,23.95,23.95,12.41,37.3,OK
balliu-silla-exterior-con-brazos-resina-estilo-funcional-94b6e5b5-2,Balliu,1,89.95,89.95,"89.95, 197.95",55.51,25.3,OK
balliu-mesa-alta-exterior-hpl-a3352658-2,Balliu,1,449.9,449.9,"449.9, 489.95",245.33,34.0,OK
parasol-cuadrado-200x200,santavila,9,399.9,426.95,,,,SIN_FUENTE_EXCEL
tumbona-carmen-tablillas,santavila,5,199.9,219.95,,,,SIN_FUENTE_EXCEL
tumbona-lola-tablillas,santavila,5,199.9,212.95,,,,SIN_FUENTE_EXCEL
mesa-de-centro-exterior-aluminio-hpl-gd-110x60,santavila,1,421.95,421.95,,,,SIN_FUENTE_EXCEL
mesa-auxiliar-exterior-aluminio-hpl-gd-45x45-etna,santavila,1,175.06,175.06,,,,SIN_FUENTE_EXCEL
mesa-auxiliar-exterior-aluminio-werzalit-60-etna,santavila,1,157.84,157.84,,,,SIN_FUENTE_EXCEL
mesa-exterior-aluminio-hpl-120x80-capri-doble,santavila,15,535.0,535.0,,,,SIN_FUENTE_EXCEL
mesa-exterior-aluminio-hpl-gd-brunei,santavila,4,540.25,1123.45,,,,SIN_FUENTE_EXCEL
mesa-extensible-exterior-aluminio-hpl-gd-java,santavila,2,1593.26,2296.36,,,,SIN_FUENTE_EXCEL
mesa-exterior-aluminio-hpl-gd-capri,santavila,5,387.59,442.82,,,,SIN_FUENTE_EXCEL
mesa-exterior-aluminio-hpl-gd-120x80-capri-doble,santavila,3,605.18,666.49,,,,SIN_FUENTE_EXCEL
mesa-exterior-aluminio-altea-extras,santavila,5,381.97,673.68,,,,SIN_FUENTE_EXCEL
mesa-exterior-aluminio-agata-extras,santavila,2,504.03,686.15,,,,SIN_FUENTE_EXCEL
silla-exterior-resina-bruna-precio-alto-pendiente,santavila,1,197.73,197.73,,,,SIN_FUENTE_EXCEL
