handle,sku,fuente,price_antes,price_despues,compare_antes,compare_despues,status,error
sillon-exterior-estilo-versatil-76100-cm,557-010726,excel_col_G,599.00,599.00,650.00,650.00,SIN_CAMBIOS,
sofa-terraza-2-plazas-estilo-contemporaneo-145100-cm,557-010727,excel_col_G,950.00,950.00,1000.00,1000.00,SIN_CAMBIOS,
sofa-terraza-3-plazas-estilo-sofisticado-212100-cm,557-010728,excel_col_G,1205.00,1205.00,1300.00,1300.00,SIN_CAMBIOS,
set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-4,557-010729,excel_col_G,2815.00,2815.00,3100.00,3100.00,SIN_CAMBIOS,
set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa-4,557-010730,excel_col_G,3140.00,3140.00,3500.00,3500.00,SIN_CAMBIOS,
reposapies-exterior-855043-cm,557-0185,excel_col_G,349.90,349.90,392.95,384.95,OK,
sillon-exterior-estilo-elegante-80104-cm,557-010478,excel_col_G,1019.00,1019.00,1100.00,1100.00,SIN_CAMBIOS,
sofa-terraza-2-plazas-estilo-contemporaneo-164104-cm,557-010479,excel_col_G,1580.00,1580.00,1700.00,1700.00,SIN_CAMBIOS,
sofa-terraza-3-plazas-estilo-contemporaneo-215104-cm,557-010480,excel_col_G,2109.00,2109.00,2300.00,2300.00,SIN_CAMBIOS,
mesa-de-centro-exterior-125-cm-altura-42-cm,557-0008,excel_col_G,569.00,569.00,600.00,600.00,SIN_CAMBIOS,
reposapies-exterior-855043-cm-2,557-010482,excel_col_G,399.90,399.90,449.95,439.95,OK,
set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-5,557-0793,excel_col_G,4175.00,4175.00,4600.00,4600.00,SIN_CAMBIOS,
set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-2,557-010483,excel_col_G,4709.00,4709.00,5200.00,5200.00,SIN_CAMBIOS,
sillon-exterior-bicolor-estilo-bicolor-7376-cm,558-0051,excel_col_G,945.00,945.00,1000.00,1000.00,SIN_CAMBIOS,
sofa-terraza-bicolor-2-plazas-estilo-bicolor-14076-cm,558-0070,excel_col_G,1365.00,1365.00,1500.00,1500.00,SIN_CAMBIOS,
sofa-terraza-bicolor-3-plazas-estilo-bicolor-20076-cm,558-0052,excel_col_G,1685.00,1685.00,1800.00,1800.00,SIN_CAMBIOS,
mesa-de-centro-exterior-hpl-120-cm-altura-40-cm,558-0033,excel_col_G,715.00,715.00,800.00,800.00,SIN_CAMBIOS,
mesa-de-centro-exterior-hpl-135-cm-altura-40-cm,558-0039,excel_col_G,835.00,835.00,900.00,900.00,SIN_CAMBIOS,
reposapies-exterior-bicolor-704544-cm,558-0049,excel_col_G,509.00,509.00,550.00,550.00,SIN_CAMBIOS,
set-jardin-bicolor-2-plazas-bicolor-sofa-2-plazas-2-sillones-mesa,558-0066,excel_col_G,3965.00,3965.00,4400.00,4400.00,SIN_CAMBIOS,
set-jardin-bicolor-3-plazas-bicolor-sofa-3-plazas-2-sillones-mesa,558-0050,excel_col_G,4405.00,4405.00,4800.00,4800.00,SIN_CAMBIOS,
sillon-exterior-estilo-versatil-7685-cm,557-010716,excel_col_G,645.00,645.00,700.00,700.00,SIN_CAMBIOS,
sofa-terraza-2-plazas-estilo-contemporaneo-13785-cm,557-010717,excel_col_G,909.00,909.00,1000.00,1000.00,SIN_CAMBIOS,
sofa-terraza-3-plazas-estilo-contemporaneo-19685-cm,557-010718,excel_col_G,1175.00,1175.00,1300.00,1300.00,SIN_CAMBIOS,
set-jardin-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa,557-010719,excel_col_G,2535.00,2535.00,2800.00,2800.00,SIN_CAMBIOS,
set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-3,557-010720,excel_col_G,2899.00,2899.00,3200.00,3200.00,SIN_CAMBIOS,
sillon-exterior-estilo-moderno-7085-cm,557-010103,excel_col_G,585.00,585.00,650.00,650.00,SIN_CAMBIOS,
sofa-terraza-2-plazas-estilo-elegante-15085-cm,557-010104,excel_col_G,909.00,909.00,1000.00,1000.00,SIN_CAMBIOS,
sofa-terraza-3-plazas-estilo-contemporaneo-19085-cm,557-010105,excel_col_G,1175.00,1175.00,1300.00,1300.00,SIN_CAMBIOS,
set-jardin-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa-2,557-010106,excel_col_G,2405.00,2405.00,2600.00,2600.00,SIN_CAMBIOS,
