action,handle,title,vendor,preview_url,status,notes
hevea-skip,sofa-terraza-3-plazas-estilo-contemporaneo-18590-cm,Sofá terraza 3 plazas · estilo contemporáneo | 185×90 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-3-plazas-estilo-contemporaneo-18590-cm,ok,Already Hevea-tagged
hevea-skip,reposapies-exterior-605040-cm,Reposapiés exterior · 60×50×40 cm,Hevea,https://mueblesexterior.myshopify.com/products/reposapies-exterior-605040-cm,ok,Already Hevea-tagged
hevea-skip,set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-2,Set jardín 2 plazas · elegante | sofá 2 plazas + 2 sillones + mesa 2,Hevea,https://mueblesexterior.myshopify.com/products/set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-2,ok,Already Hevea-tagged
hevea-skip,set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa-2,Set jardín 3 plazas · sofisticado | sofá 3 plazas + 2 sillones + mesa 2,Hevea,https://mueblesexterior.myshopify.com/products/set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa-2,ok,Already Hevea-tagged
hevea-skip,sillon-exterior-estilo-envolvente-7582-cm,Sillón exterior · estilo envolvente | 75×82 cm,Hevea,https://mueblesexterior.myshopify.com/products/sillon-exterior-estilo-envolvente-7582-cm,ok,Already Hevea-tagged
hevea-skip,sofa-terraza-3-plazas-estilo-contemporaneo-19882-cm,Sofá terraza 3 plazas · estilo contemporáneo | 198×82 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-3-plazas-estilo-contemporaneo-19882-cm,ok,Already Hevea-tagged
hevea-skip,sofa-terraza-2-plazas-estilo-contemporaneo-15082-cm,Sofá terraza 2 plazas · estilo contemporáneo | 150×82 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-2-plazas-estilo-contemporaneo-15082-cm,ok,Already Hevea-tagged
hevea-skip,mesa-de-centro-exterior-125-cm-altura-38-cm,Mesa de centro exterior 125 cm · altura 38 cm,Hevea,https://mueblesexterior.myshopify.com/products/mesa-de-centro-exterior-125-cm-altura-38-cm,ok,Already Hevea-tagged
hevea-skip,set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-3,Set jardín 2 plazas · elegante | sofá 2 plazas + 2 sillones + mesa 3,Hevea,https://mueblesexterior.myshopify.com/products/set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-3,ok,Already Hevea-tagged
hevea-skip,set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa-3,Set jardín 3 plazas · sofisticado | sofá 3 plazas + 2 sillones + mesa 3,Hevea,https://mueblesexterior.myshopify.com/products/set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa-3,ok,Already Hevea-tagged
hevea-skip,sillon-exterior-estilo-estilizado-7069-cm,Sillón exterior · estilo estilizado | 70×69 cm,Hevea,https://mueblesexterior.myshopify.com/products/sillon-exterior-estilo-estilizado-7069-cm,ok,Already Hevea-tagged
hevea-skip,sofa-terraza-2-plazas-estilo-contemporaneo-16269-cm,Sofá terraza 2 plazas · estilo contemporáneo | 162×69 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-2-plazas-estilo-contemporaneo-16269-cm,ok,Already Hevea-tagged
