handle,title,status,type,vendor,desc_words,seo_desc,image,variants,variants_sin_gtin
set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-3,Set jardín 3 plazas · contemporáneo | sofá 3 plazas + 2 sillones + mesa 3,ACTIVE,Conjunto sofá,Hevea,30,sí,sí,1,1
set-losas-cemento-para-base-de-parasol,Set losas cemento para base de parasol,ACTIVE,Accesorios,Hevea,30,sí,sí,1,1
set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-3,Set jardín 2 plazas · elegante | sofá 2 plazas + 2 sillones + mesa 3,ACTIVE,Conjunto sofá,Hevea,31,sí,sí,1,1
set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa-3,Set jardín 3 plazas · sofisticado | sofá 3 plazas + 2 sillones + mesa 3,ACTIVE,Conjunto sofá,Hevea,31,sí,sí,1,1
set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-5,Set jardín 2 plazas · elegante | sofá 2 plazas + 2 sillones + mesa 5,ACTIVE,Conjunto sofá,Hevea,31,sí,sí,1,1
set-jardin-bicolor-3-plazas-bicolor-sofa-3-plazas-2-sillones-mesa,Set jardín bicolor 3 plazas · bicolor | sofá 3 plazas + 2 sillones + mesa,ACTIVE,Conjunto sofá,Hevea,31,sí,sí,1,1
set-jardin-3-plazas-elegante-sofa-3-plazas-2-sillones-mesa-2,Set jardín 3 plazas · elegante | sofá 3 plazas + 2 sillones + mesa 2,ACTIVE,Conjunto sofá,Hevea,32,sí,sí,1,1
set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa-2,Set jardín 3 plazas · sofisticado | sofá 3 plazas + 2 sillones + mesa 2,ACTIVE,Conjunto sofá,Hevea,33,sí,sí,1,1
set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-4,Set jardín 2 plazas · elegante | sofá 2 plazas + 2 sillones + mesa 4,ACTIVE,Conjunto sofá,Hevea,33,sí,sí,1,1
sillon-exterior-estilo-urbano-6670-cm,Sillón exterior · estilo urbano | 66×70 cm,ACTIVE,Sillón,Hevea,33,sí,sí,1,1
sofa-terraza-2-plazas-estilo-contemporaneo-13370-cm,Sofá terraza 2 plazas · estilo contemporáneo | 133×70 cm,ACTIVE,Sofá,Hevea,33,sí,sí,1,1
banco-de-exterior-150-cm,Banco de exterior 150 cm,ACTIVE,Banco,Hevea,33,sí,sí,1,1
mesa-de-centro-exterior-hpl-70-cm-altura-45-cm,Mesa de centro exterior HPL 70 cm · altura 45 cm,ACTIVE,Mesa centro,Hevea,34,sí,sí,1,1
set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa-2,Set jardín 2 plazas · moderno | sofá 2 plazas + 2 sillones + mesa 2,ACTIVE,Conjunto sofá,Hevea,35,sí,sí,1,1
set-jardin-bicolor-2-plazas-bicolor-sofa-2-plazas-2-sillones-mesa,Set jardín bicolor 2 plazas · bicolor | sofá 2 plazas + 2 sillones + mesa,ACTIVE,Conjunto sofá,Hevea,35,sí,sí,1,1
banco-de-exterior-108-cm,Banco de exterior 108 cm,ACTIVE,Banco,Hevea,35,sí,sí,1,1
set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa,Set jardín 3 plazas · sofisticado | sofá 3 plazas + 2 sillones + mesa,ACTIVE,Conjunto sofá,Hevea,36,sí,sí,1,1
reposapies-exterior-504540-cm,Reposapiés exterior · 50×45×40 cm,ACTIVE,Reposapiés,Hevea,36,sí,sí,1,1
set-jardin-3-plazas-elegante-sofa-3-plazas-2-sillones-mesa,Set jardín 3 plazas · elegante | sofá 3 plazas + 2 sillones + mesa,ACTIVE,Conjunto sofá,Hevea,36,sí,sí,1,1
sillon-exterior-estilo-elegante-80104-cm,Sillón exterior · estilo elegante | 80×104 cm,ACTIVE,Sillón,Hevea,36,sí,sí,1,1
mesa-de-centro-exterior-125-cm-altura-42-cm,Mesa de centro exterior 125 cm · altura 42 cm,ACTIVE,Mesa centro,Hevea,36,sí,sí,1,1
sillon-exterior-estilo-moderno-7085-cm,Sillón exterior · estilo moderno | 70×85 cm,ACTIVE,Sillón,Hevea,36,sí,sí,1,1
sillon-exterior-estilo-versatil-6470-cm,Sillón exterior · estilo versátil | 64×70 cm,ACTIVE,Sillón,Hevea,36,sí,sí,1,1
mesa-de-centro-exterior-hpl-90-cm-altura-40-cm,Mesa de centro exterior HPL 90 cm · altura 40 cm,ACTIVE,Mesa centro,Hevea,36,sí,sí,1,1
sofa-terraza-3-plazas-estilo-moderno-18770-cm,Sofá terraza 3 plazas · estilo moderno | 187×70 cm,ACTIVE,Sofá,Hevea,36,sí,sí,1,1
sofa-terraza-3-plazas-estilo-contemporaneo-18583-cm,Sofá terraza 3 plazas · estilo contemporáneo | 185×83 cm,ACTIVE,Sofá,Hevea,37,sí,sí,1,1
