handle,sku,titulo,cat,price,cost_net,fuente,gross_pct,net_pct,net_eur,carrier,fee,esc,alerta,notas,compare_ok
sofa-terraza-3-plazas-estilo-contemporaneo-19882-cm,557-1090,Sofá terraza 3 plazas · estilo contemporáneo | 198×82 c,l,1489.0,775.0,shopify,37.0,34.5,424.01,0.0,31.57,envio_gratis,OK,,OK
sofa-terraza-2-plazas-estilo-contemporaneo-15082-cm,557-1091,Sofá terraza 2 plazas · estilo contemporáneo | 150×82 c,l,1055.0,549.0,shopify,37.0,28.7,250.45,50.0,22.46,envio_gratis,OK,,OK
mesa-de-centro-exterior-125-cm-altura-38-cm,557-1092,Mesa de centro exterior 125 cm · altura 38 cm,m,375.95,196.0,shopify,36.9,27.8,86.46,50.0,8.19,cliente_paga,OK,carrier(50)>rate(29.95),OK
set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-3,557-1094,Set jardín 2 plazas · elegante | sofá 2 plazas + 2 sill,l,3015.0,1569.0,shopify,37.0,34.5,859.12,0.0,63.62,envio_gratis,OK,,OK
set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa-3,557-1095,Set jardín 3 plazas · sofisticado | sofá 3 plazas + 2 s,l,3449.0,1796.0,shopify,37.0,34.4,981.68,0.0,72.73,envio_gratis,OK,,OK
sillon-exterior-estilo-estilizado-7069-cm,600-010090,Sillón exterior · estilo estilizado | 70×69 cm,m,975.0,508.0,shopify,37.0,28.2,227.01,50.0,20.78,envio_gratis,OK,,OK
sofa-terraza-2-plazas-estilo-contemporaneo-16269-cm,600-010091,Sofá terraza 2 plazas · estilo contemporáneo | 162×69 c,l,1389.0,722.0,shopify,37.1,34.5,396.46,0.0,29.47,envio_gratis,OK,,OK
sofa-terraza-3-plazas-estilo-elegante-22069-cm,600-010092,Sofá terraza 3 plazas · estilo elegante | 220×69 cm,l,1919.0,999.0,shopify,37.0,34.4,546.35,0.0,40.6,envio_gratis,OK,,OK
reposapies-exterior-504540-cm,600-010093,Reposapiés exterior · 50×45×40 cm,m,187.95,98.0,shopify,36.9,53.5,83.03,0.0,4.25,cliente_paga,OK,,OK
sillon-exterior-estilo-elegante-6578-cm,557-011090,Sillón exterior · estilo elegante | 65×78 cm,m,515.0,268.0,shopify,37.0,22.7,96.5,50.0,11.12,envio_gratis,OK,,OK
sofa-terraza-2-plazas-estilo-contemporaneo-12078-cm,557-011091,Sofá terraza 2 plazas · estilo contemporáneo | 120×78 c,l,875.0,454.0,shopify,37.2,27.7,200.47,50.0,18.68,envio_gratis,OK,,OK
sofa-terraza-3-plazas-estilo-sofisticado-17578-cm,557-011092,Sofá terraza 3 plazas · estilo sofisticado | 175×78 cm,l,1145.0,596.0,shopify,37.0,34.4,325.94,0.0,24.35,envio_gratis,OK,,OK
mesa-de-centro-exterior-90-cm-altura-41-cm,557-011075,Mesa de centro exterior 90 cm · altura 41 cm,m,338.95,177.0,shopify,36.8,44.9,125.66,0.0,7.42,cliente_paga,OK,,OK
mesa-de-centro-exterior-120-cm-altura-41-cm,557-011076,Mesa de centro exterior 120 cm · altura 41 cm,m,449.9,246.0,shopify,33.8,25.8,96.02,50.0,9.75,cliente_paga,OK,carrier(50)>rate(29.95),OK
set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa-2,557-011094,Set jardín 2 plazas · moderno | sofá 2 plazas + 2 sillo,l,2239.0,1166.0,shopify,37.0,34.4,637.09,0.0,47.32,envio_gratis,OK,,OK
set-jardin-3-plazas-elegante-sofa-3-plazas-2-sillones-mesa,557-011095,Set jardín 3 plazas · elegante | sofá 3 plazas + 2 sill,l,2645.0,1377.0,shopify,37.0,34.5,753.11,0.0,55.84,envio_gratis,OK,,OK
sillon-exterior-estilo-versatil-76100-cm,557-010726,Sillón exterior · estilo versátil | 76×100 cm,m,599.0,312.0,shopify,37.0,24.3,120.16,50.0,12.88,envio_gratis,OK,,OK
sofa-terraza-2-plazas-estilo-contemporaneo-145100-cm,557-010727,Sofá terraza 2 plazas · estilo contemporáneo | 145×100 ,l,950.0,495.0,shopify,37.0,28.0,219.87,50.0,20.25,envio_gratis,OK,,OK
sofa-terraza-3-plazas-estilo-sofisticado-212100-cm,557-010728,Sofá terraza 3 plazas · estilo sofisticado | 212×100 cm,l,1205.0,627.0,shopify,37.0,34.5,343.26,0.0,25.61,envio_gratis,OK,,OK
set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-4,557-010729,Set jardín 2 plazas · elegante | sofá 2 plazas + 2 sill,l,2815.0,1465.0,shopify,37.0,34.5,802.03,0.0,59.41,envio_gratis,OK,,OK
set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa-4,557-010730,Set jardín 3 plazas · sofisticado | sofá 3 plazas + 2 s,l,3140.0,1635.0,shopify,37.0,34.4,893.8,0.0,66.24,envio_gratis,OK,,OK
reposapies-exterior-855043-cm,557-0185,Reposapiés exterior · 85×50×43 cm,m,349.9,186.0,shopify,35.7,43.4,125.48,0.0,7.65,cliente_paga,OK,,OK
sillon-exterior-estilo-elegante-80104-cm,557-010478,Sillón exterior · estilo elegante | 80×104 cm,m,1019.0,530.0,shopify,37.1,28.6,240.45,50.0,21.7,envio_gratis,OK,,OK
sofa-terraza-2-plazas-estilo-contemporaneo-164104-cm,557-010479,Sofá terraza 2 plazas · estilo contemporáneo | 164×104 ,l,1580.0,823.0,shopify,37.0,34.4,449.31,0.0,33.48,envio_gratis,OK,,OK
sofa-terraza-3-plazas-estilo-contemporaneo-215104-cm,557-010480,Sofá terraza 3 plazas · estilo contemporáneo | 215×104 ,l,2109.0,1097.0,shopify,37.1,34.5,601.39,0.0,44.59,envio_gratis,OK,,OK
mesa-de-centro-exterior-125-cm-altura-42-cm,557-0008,Mesa de centro exterior 125 cm · altura 42 cm,m,569.0,297.0,shopify,36.8,23.6,111.0,50.0,12.25,envio_gratis,OK,,OK
reposapies-exterior-855043-cm-2,557-010482,Reposapiés exterior · 85×50×43 cm,m,399.9,215.0,shopify,34.9,26.2,86.75,50.0,8.7,cliente_paga,OK,carrier(50)>rate(29.95),OK
