SKU;Producto;Precio neto exworks sin iva;Precio Venta;Margen €;Margen%;Coste de Envio;;PVP Recomendado;Descripción;Ancho (cm);Fondo (cm);Alto (cm);Imagen;Proveedor;Match %;Color Match;Detalle Match
BALLIU_LOLA_TUMBONA_CHASIS_PRESTIGE__B52B3A7F;Tumbona de exterior resina | 75 cm;96,20 €;197,21 €;54,79 €;56,95 %;;;197,21 €;"La Lola es una tumbona que resalta por su robustez, resistencia y diseño elegante. Su estructura monobloque de resina de polipropileno reforzada con carga mineral garantiza una gran durabilidad y estabilidad, mientras que sus líneas rectas le otorgan un estilo moderno.
El respaldo es regulable en cinco posiciones, cuenta con ruedas integradas y el tejido es sustituible. Con un diseño que facilita el acceso, Lola ofrece una experiencia de descanso más relajante.
Resina Classic
Tejido Balliu
Dimensiones: Largo: 205 cm | Ancho: 75 cm | Alto: 95 cm | Peso: 14,4 kg";75;;95;https://www.balliuexport.com/wp-content/uploads/2020/01/lola-tumbona-blanco-azul-800x614-2.jpg;Balliu;100;Verde;Catalogo + web
BALLIU_EVA_PRO_TUMBONA_CHASIS_BLANCO_TE_B19AF1EA;Tumbona de exterior resina | 73 cm;82,85 €;169,84 €;47,18 €;56,95 %;;;169,84 €;"La Eva Pro es un icono de Balliu y mantiene la esencia de su predecesora Eva RG. Con una estructura de resina de polipropileno reforzada con carga mineral y un elegante acabado mate, ofrece resistencia y durabilidad.
Su diseño con patas en forma de V ofrece estabilidad. Cuenta con refuerzo interno, respaldo regulable en cinco posiciones y ruedas integradas. El tejido sustituible mediante cordón asegura una fácil renovación.
Resina Classic
Tejido Balliu
Dimensiones: Largo: 205 cm | Ancho: 73 cm | Alto: 37 cm | Peso: 14 kg";73;;37;https://www.balliuexport.com/wp-content/uploads/2018/06/eva-pro-blanco-01-00-800x614-1.jpg;Balliu;70;Amarillo;Catalogo + web
BALLIU_EVA_PRO_TUMBONA_CHASIS_BLANCO_TA_32A6C0EA;Tumbona de exterior resina | 73 cm;89,39 €;183,25 €;50,91 €;56,95 %;;;183,25 €;"La Eva Pro es un icono de Balliu y mantiene la esencia de su predecesora Eva RG. Con una estructura de resina de polipropileno reforzada con carga mineral y un elegante acabado mate, ofrece resistencia y durabilidad.
Su diseño con patas en forma de V ofrece estabilidad. Cuenta con refuerzo interno, respaldo regulable en cinco posiciones y ruedas integradas. El tejido sustituible mediante cordón asegura una fácil renovación.
Resina Classic
Tejido Balliu
Dimensiones: Largo: 205 cm | Ancho: 73 cm | Alto: 37 cm | Peso: 14 kg";73;;37;https://www.balliuexport.com/wp-content/uploads/2018/06/eva-pro-blanco-01-00-800x614-1.jpg;Balliu;70;Amarillo;Catalogo + web
BALLIU_EVA_RG_TUMBONA_CHASIS_BLANCO_TE_D369D964;Tumbona de exterior resina | 73 cm;94,70 €;194,14 €;53,93 €;56,95 %;;;194,14 €;"La Eva RG combina robustez y funcionalidad. Su estructura de resina de polipropileno reforzada con carga mineral proporciona gran resistencia y durabilidad. El diseño nerviado incrementa la robustez estructural.
El respaldo regulable en cuatro posiciones se adapta a las necesidades de confort, y su sistema de ajuste por click evita el atrapamiento de manos y dedos. Además, el tejido sustituible por cordón garantiza facilidad de mantenimiento. Una opción ideal para quienes buscan confort y diseño con seguridad y resistencia.
Resina Classic
Tejido Balliu
Dimensiones: Largo: 205 cm | Ancho: 73 cm | Alto: 37 cm | Peso: 14 kg";73;;37;https://www.balliuexport.com/wp-content/uploads/2018/06/eva-pro-blanco-01-00-800x614-1.jpg;Balliu;70;Amarillo;Catalogo + web
BALLIU_EVA_RG_TUMBONA_CHASIS_ARENA_TEL_D8285FFB;Tumbona de exterior resina | 73 cm;98,52 €;201,97 €;56,11 €;56,95 %;;;201,97 €;"La Eva RG combina robustez y funcionalidad. Su estructura de resina de polipropileno reforzada con carga mineral proporciona gran resistencia y durabilidad. El diseño nerviado incrementa la robustez estructural.
El respaldo regulable en cuatro posiciones se adapta a las necesidades de confort, y su sistema de ajuste por click evita el atrapamiento de manos y dedos. Además, el tejido sustituible por cordón garantiza facilidad de mantenimiento. Una opción ideal para quienes buscan confort y diseño con seguridad y resistencia.
Resina Classic
Tejido Balliu
Dimensiones: Largo: 205 cm | Ancho: 73 cm | Alto: 37 cm | Peso: 14 kg";73;;37;https://www.balliuexport.com/wp-content/uploads/2018/06/eva-pro-blanco-01-00-800x614-1.jpg;Balliu;70;Amarillo;Catalogo + web
BALLIU_EVA_RTG_TUMBONA_CHASIS_BLANCO_TA_0648657B;Tumbona de exterior resina | 73 cm;97,43 €;199,73 €;55,49 €;56,95 %;;;199,73 €;"La Eva RTG es la tumbona perfecta para grandes espacios, combinando resistencia y funcionalidad. Su estructura de resina de polipropileno reforzada con carga mineral ofrece resistencia, mientras que el diseño nerviado aumenta su robustez.
El respaldo regulable en cuatro posiciones, con un sistema de ajuste por click, ayuda a evitar el atrapamiento de manos y dedos. Además, su sistema de listones modulares permite sustituir las lamas con facilidad. Perfecta también para usar con colchoneta.
Tablillas
Resina Classic
Resina Classic T
Dimensiones: Largo: 205 cm | Ancho: 73 cm | Alto: 37 cm | Peso: 14 kg";73;;37;https://www.balliuexport.com/wp-content/uploads/2018/06/eva-pro-blanco-01-00-800x614-1.jpg;Balliu;70;Amarillo;Catalogo + web
BALLIU_NOA_TUMBONA_CHASIS_BLANCO_TE_28FF014D;Tumbona de exterior resina;215,24 €;441,24 €;122,58 €;56,95 %;;;441,24 €;"Diseñada para los espacios más exclusivos, la tumbona Noa combina elegancia y funcionalidad. Su estructura de resina de polipropileno reforzada con ﬁbra de vidrio y acabado texturizado garantizan una alta resistencia.
Su refuerzo interno con soporte metálico, respaldo regulable en cinco posiciones, ruedas integradas y tejido sustituible por guías aseguran máxima comodidad y durabilidad.
Resina Classic
Tejido Balliu
Dimensiones: Largo: 191,2 cm | Peso: N/D kg";;;;https://www.balliuexport.com/wp-content/uploads/2026/02/Balliu_Noa_Blanco_marron2.jpg;Balliu;100;Verde;Catalogo + web
BALLIU_NOA_TUMBONA_CHASIS_PRESTIGE__E5BE2A33;Tumbona de exterior resina;225,25 €;461,76 €;128,28 €;56,95 %;;;461,76 €;"Diseñada para los espacios más exclusivos, la tumbona Noa combina elegancia y funcionalidad. Su estructura de resina de polipropileno reforzada con ﬁbra de vidrio y acabado texturizado garantizan una alta resistencia.
Su refuerzo interno con soporte metálico, respaldo regulable en cinco posiciones, ruedas integradas y tejido sustituible por guías aseguran máxima comodidad y durabilidad.
Resina Classic
Tejido Balliu
Dimensiones: Largo: 191,2 cm | Peso: N/D kg";;;;https://www.balliuexport.com/wp-content/uploads/2026/02/Balliu_Noa_Blanco_marron2.jpg;Balliu;100;Verde;Catalogo + web
BALLIU_OLIMPIA_TUMBONA_SIN_RUEDAS_DA3F5C24;Tumbona de exterior sin ruedas aluminio;287,64 €;589,66 €;163,81 €;56,95 %;;;589,66 €;"La Olimpia combina una estructura resistente con un diseño minimalista y elegante. Fabricada con aluminio endurecido y tornillería de acero inoxidable, su estructura reforzada internamente asegura gran resistencia.
Es regulable en cinco posiciones, con un sistema de seguridad para evitar el atrapamiento de manos y dedos. Con ruedas opcionales y tejido sustituible mediante guías, su diseño se caracteriza por líneas rectas y limpias, creando una apariencia plana y elegante.
Tejido Balliu
Aluminio texturizado";;;;;Balliu;60;Amarillo;Solo catalogo
BALLIU_OLIMPIA_TUMBONA_CON_RUEDAS_82D4D0A8;Tumbona de exterior con ruedas aluminio;315,63 €;647,04 €;179,75 €;56,95 %;;;647,04 €;"La Olimpia combina una estructura resistente con un diseño minimalista y elegante. Fabricada con aluminio endurecido y tornillería de acero inoxidable, su estructura reforzada internamente asegura gran resistencia.
Es regulable en cinco posiciones, con un sistema de seguridad para evitar el atrapamiento de manos y dedos. Con ruedas opcionales y tejido sustituible mediante guías, su diseño se caracteriza por líneas rectas y limpias, creando una apariencia plana y elegante.
Tejido Balliu
Aluminio texturizado";;;;;Balliu;60;Amarillo;Solo catalogo
